,,,,,,,Casting,,,,,,,,,,,,,,,Ability,,,,,,Saving Throws,,,,,,,,
Verres Calamitosus,Balanced,11,99,18,0,+4,,,,,,,,,,,,,,,,19,10,16,2,12,7,+4,0,+3,-4,+1,-2,"Bestial Fury,Companion's Bond,Exceptional Training,Opportunity Attack,Prey's Scent",,
Verres Calamitosus,Explorer,11,198,20,0,+6,,,,,,,,,,,,,,,,19,10,16,2,12,7,+10,+6,+9,+2,+7,+4,"Bestial Fury,Companion's Bond,Exceptional Training,Opportunity Attack,Prey's Scent",,
Verres Major,Balanced,5,27,14,0,+3,,,,,,,,,,,,,,,,15,11,12,2,9,5,+2,0,+1,-4,-1,-3,"Companion's Bond,Opportunity Attack,Prey's Scent",,
Verres Major,Explorer,5,54,16,0,+5,,,,,,,,,,,,,,,,15,11,12,2,9,5,+7,+5,+6,+1,+4,+2,"Companion's Bond,Opportunity Attack,Prey's Scent",,
Conjured Crab,Balanced,1,2,11,0,+2,,,,,,,,,,,,,,,,2,11,10,1,8,2,-4,0,0,-5,-1,-4,,,
Conjured Crab,Explorer,1,4,11,0,+4,,,,,,,,,,,,,,,,2,11,10,1,8,2,0,+4,+4,-1,+3,0,,,
Nessa,Balanced,5,85,16,+2,+3,,,,,,,,,,,,,,,,18,15,16,6,12,8,+4,+2,+3,-2,+1,-1,"Darkvision,Evasion,Extra Attack,Opportunity Attack",,
Nessa,Explorer,5,59,16,+2,+5,,,,,,,,,,,,,,,,18,15,16,6,12,8,+4,+2,+3,-2,+1,-1,"Darkvision,Evasion,Extra Attack,Opportunity Attack",,
Nessa,Tactician,5,110,16,+2,+3,,,,,,,,,,,,,,,,18,15,16,6,12,8,+4,+2,+3,-2,+1,-1,"Darkvision,Evasion,Extra Attack,Opportunity Attack",,
Shadow-Whiskers,Balanced,7,85,16,+2,+3,,,,,,,,,,,,,,,,18,15,16,6,12,8,+4,+2,+3,-2,+1,-1,"Darkvision,Evasion,Extra Attack,Opportunity Attack",,
Shadow-Whiskers,Explorer,7,59,16,+2,+5,,,,,,,,,,,,,,,,18,15,16,6,12,8,+4,+2,+3,-2,+1,-1,"Darkvision,Evasion,Extra Attack,Opportunity Attack",,
Shadow-Whiskers,Tactician,7,110,16,+2,+3,,,,,,,,,,,,,,,,18,15,16,6,12,8,+4,+2,+3,-2,+1,-1,"Darkvision,Evasion,Extra Attack,Opportunity Attack",,
Addled Frog,Balanced,3,12,22,+5,+2,,,,,,Full Resistance,,,,,,Full Resistance,,,,3,20,10,3,8,8,-4,+7,0,-4,-1,-1,"Opportunity Attack,Toxic Secretions",Reflective Mucus,
Addled Frog,Explorer,3,8,22,+5,+4,,,,,,Full Resistance,,,,,,Full Resistance,,,,3,20,10,3,8,8,-4,+9,0,-4,-1,-1,"Opportunity Attack,Toxic Secretions",Reflective Mucus,
Addled Frog,Tactician,3,25,22,+5,+2,,,,,,Full Resistance,,,,,,Full Resistance,,,,3,20,10,3,8,8,-4,+7,0,-4,-1,-1,"Evasion,Opportunity Attack,Toxic Secretions",Reflective Mucus,
Conjured Frog,Balanced,1,1,12,+1,+2,,,,,,,,,,,,,,,,2,13,10,1,8,2,-4,+1,0,-5,-1,-4,,,
Conjured Frog,Explorer,1,2,12,+1,+4,,,,,,,,,,,,,,,,2,13,10,1,8,2,0,+5,+4,-1,+3,0,,,
Ancient Giant Eagle,Balanced,5,62,13,+3,+3,,,,,,,,,,,,,,,,18,17,14,8,14,10,+4,+3,+2,-1,+2,0,"Multiattack (Giant Eagle),Opportunity Attack",,
Ancient Giant Eagle,Explorer,5,43,13,+3,+5,,,,,,,,,,,,,,,,18,17,14,8,14,10,+4,+3,+2,-1,+2,0,"Multiattack (Giant Eagle),Opportunity Attack",,
Ancient Giant Eagle,Tactician,5,80,13,+3,+3,,,,,,,,,,,,,,,,20,17,14,8,16,10,+5,+3,+2,-1,+3,0,"Multiattack (Giant Eagle),Opportunity Attack",,
Bloated Hyena,Balanced,1,12,12,+1,+2,,,,,,,,,,,,,,,,11,13,12,2,12,5,0,+1,+1,-4,+1,-3,,"Bloated,Yeenoghu's Hunger",
Bloated Hyena,Explorer,1,8,12,+1,+4,,,,,,,,,,,,,,,,11,13,12,2,12,5,0,+1,+1,-4,+1,-3,,"Bloated,Yeenoghu's Hunger",
Bloated Hyena,Tactician,1,15,12,+1,+2,,,,,,,,,,,,,,,,11,13,12,2,12,5,0,+1,+1,-4,+1,-3,,"Bloated,Yeenoghu's Hunger",
Hyena,Balanced,1,12,12,+1,,,,,,,,,,,,,,,,,11,13,12,2,18,5,0,+1,+1,-4,+4,-3,"Opportunity Attack,Pack Tactics",,
Hyena,Tactician,1,15,12,+1,,,,,,,,,,,,,,,,,11,13,12,2,18,5,0,+1,+1,-4,+4,-3,"Opportunity Attack,Pack Tactics",,
Cranium Rat,Balanced,,2,12,+2,,,,,,,,,,,,,,,,,2,14,10,4,11,8,-4,+2,0,-3,0,-1,"Darkvision,Infectious Madness",,
Cranium Rat,Explorer,,1,12,+2,,,,,,,,,,,,,,,,,2,14,10,4,11,8,-4,+2,0,-3,0,-1,"Darkvision,Infectious Madness",,
Cranium Rat,Tactician,,2,12,+2,,,,,,,,,,,,,,,,,2,14,10,4,11,8,-4,+2,0,-3,0,-1,"Darkvision,Infectious Madness",,
Giant Rat,Balanced,1,4,10,+1,+2,,,,,,,,,,,,,,,,10,12,9,2,10,4,0,+1,-1,-4,0,-3,"Darkvision,Pack Tactics",,
Giant Rat,Tactician,1,5,10,+1,+2,,,,,,,,,,,,,,,,10,12,9,2,10,4,0,+1,-1,-4,0,-3,"Darkvision,Pack Tactics",,
Necrotic Rat,Balanced,1,4,1,+2,+2,,,,,,,,,,,,,,,,14,14,9,2,10,4,+2,+2,-1,-4,0,-3,Darkvision,,
Necrotic Rat,Tactician,1,5,1,+2,+2,,,,,,,,,,,,,,,,14,14,9,2,10,4,+2,+2,-1,-4,0,-3,Darkvision,,
Soporific Rat,Balanced,1,2,11,+1,+2,,,,,,,,,,,,,,,,10,12,9,2,10,4,0,+1,-1,-4,0,-3,Darkvision,Narcoleptic Toxins,
Corvus,Balanced,3,13,16,+2,0,,,,,,,,,,,,,,,,6,14,8,3,12,6,-2,+2,-1,-4,+1,-2,"Opportunity Attack,Prey's Scent",,
Corvus,Explorer,3,26,16,+2,+2,,,,,,,,,,,,,,,,6,14,8,3,12,6,0,+4,+1,-2,+3,0,"Opportunity Attack,Prey's Scent",,
Corvus Celer,Balanced,11,44,22,+2,+4,,,,,,,,,,,,,,,,6,14,10,3,14,8,-2,+2,0,-4,+2,-1,"Bestial Fury,Companion's Bond,Exceptional Training,Opportunity Attack,Prey's Scent,Raven Sight",,
Corvus Celer,Explorer,11,88,23,+2,+6,,,,,,,,,,,,,,,,6,14,10,3,14,8,+4,+8,+6,+2,+8,+5,"Bestial Fury,Companion's Bond,Exceptional Training,Opportunity Attack,Prey's Scent,Raven Sight",,
Corvus Major,Balanced,5,21,19,+2,+3,,,,,,,,,,,,,,,,6,14,10,3,12,6,-2,+2,0,-4,+1,-2,"Companion's Bond,Opportunity Attack,Prey's Scent",,
Corvus Major,Explorer,5,42,21,+2,+5,,,,,,,,,,,,,,,,6,14,10,3,12,6,+3,+7,+5,+1,+6,+3,"Companion's Bond,Opportunity Attack,Prey's Scent",,
Quothe,Balanced,1,1,12,+2,+2,,,,,,,,,,,,,,,,2,14,8,2,12,6,-4,+2,-1,-4,+1,-2,,,
Quothe,Explorer,1,2,12,+2,+4,,,,,,,,,,,,,,,,2,14,8,2,12,6,0,+6,+3,0,+5,+2,,,
Raven,Balanced,5,18,12,+2,+3,,,,,,,,,,,,,,,,2,14,8,2,12,6,-4,+2,-1,-4,+1,-2,"Darkvision,Opportunity Attack",,
Raven,Explorer,5,12,12,+2,+5,,,,,,,,,,,,,,,,2,14,8,2,12,6,-4,+2,-1,-4,+1,-2,"Darkvision,Opportunity Attack",,
Raven,Tactician,5,23,12,+2,+3,,,,,,,,,,,,,,,,2,14,8,2,12,6,-4,+2,-1,-4,+1,-2,"Darkvision,Opportunity Attack",,
Shadow-Cursed Raven,Balanced,1,1,10,0,+2,,,,,,,,,,,,,,,,2,10,8,0,7,1,-4,0,-1,-5,-2,-5,,Shadow-Cursed Undead,
Shadow-Cursed Raven,Explorer,1,1,10,0,+4,,,,,,,,,,,,,,,,2,10,8,0,7,1,-4,0,-1,-5,-2,-5,,Shadow-Cursed Undead,
Shadow-Cursed Raven,Tactician,1,1,10,0,+2,,,,,,,,,,,,,,,,2,10,8,0,7,1,-4,0,-1,-5,-2,-5,"Dazzling Blows,Evasion,Pack Tactics",Shadow-Cursed Undead,
Aggressive Crag Spider,Balanced,1,6,9,-1,+2,,,,,,,,,,,,,,,,6,8,6,8,4,4,-2,-1,-2,-1,-3,-3,"Darkvision,Opportunity Attack,Web Walker",,
Aggressive Crag Spider,Explorer,1,4,9,-1,+4,,,,,,,,,,,,,,,,6,8,6,8,4,4,-2,-1,-2,-1,-3,-3,"Darkvision,Opportunity Attack,Web Walker",,
Aggressive Crag Spider,Tactician,1,7,9,-1,+2,,,,,,,,,,,,,,,,6,8,6,8,4,4,-2,-1,-2,-1,-3,-3,"Darkvision,Opportunity Attack,Web Walker",,
Aranea,Balanced,3,10,14,+3,0,,,,,,,,,,,,,,,,12,16,13,3,12,4,+1,+3,+1,-4,+1,-3,"Darkvision,Opportunity Attack,Prey's Scent,Web Walker",,
Aranea,Explorer,3,20,14,+3,+2,,,,,,,,,,,,,,,,12,16,13,3,12,4,+3,+5,+3,-2,+3,-1,"Darkvision,Opportunity Attack,Prey's Scent,Web Walker",,
Aranea Major,Balanced,5,24,18,+4,+3,,,,,,,,,,,,,,,,12,18,13,3,12,4,+1,+4,+1,-4,+1,-3,"Companion's Bond,Darkvision,Opportunity Attack,Prey's Scent,Web Walker",,
Aranea Major,Explorer,5,48,20,+4,+5,,,,,,,,,,,,,,,,12,18,13,3,12,4,+6,+9,+6,+1,+6,+2,"Companion's Bond,Darkvision,Opportunity Attack,Prey's Scent,Web Walker",,
Aranea Aculeata,Balanced,11,60,21,+4,+4,,,,,,,,,,,,,,,,12,18,13,3,15,4,+1,+4,+1,-4,+2,-3,"Bestial Fury,Companion's Bond,Darkvision,Eight Legged Waltz,Exceptional Training,Opportunity Attack,Prey's Scent,Web Walker",,
Aranea Aculeata,Explorer,11,120,23,+4,+6,,,,,,,,,,,,,,,,12,18,13,3,15,4,+7,+10,+7,+2,+8,+3,"Bestial Fury,Companion's Bond,Darkvision,Eight Legged Waltz,Exceptional Training,Opportunity Attack,Prey's Scent,Web Walker",,
Combustion Belly Spiderling,Balanced,11,18,10,+3,+4,,,,,,,Resistance to Magical,Immune,,Resistance to Magical,,,,,,6,16,6,3,12,4,-2,+3,-2,-4,+1,-3,"Darkvision,Opportunity Attack,Web Walker",Volatile Blood,
Combustion Belly Spiderling,Explorer,11,12,10,+3,+6,,,,,,,Resistance to Magical,Immune,,Resistance to Magical,,,,,,6,16,6,3,12,4,-2,+3,-2,-4,+1,-3,"Darkvision,Opportunity Attack,Web Walker",Volatile Blood,
Combustion Belly Spiderling,Tactician,11,23,10,+3,+4,,,,,,,Resistance to Magical,Immune,,Resistance to Magical,,,,,,6,16,6,3,12,4,-2,+3,-2,-4,+1,-3,"Darkvision,Opportunity Attack,Web Walker",Volatile Blood,
Crag Spider,Balanced,1,6,9,-1,+2,,,,,,,,,,,,,,,,6,8,6,8,4,4,-2,-1,-2,-1,-3,-3,"Darkvision,Opportunity Attack,Web Walker",,
Crag Spider,Explorer,1,4,9,-1,+4,,,,,,,,,,,,,,,,6,8,6,8,4,4,-2,-1,-2,-1,-3,-3,"Darkvision,Opportunity Attack,Web Walker",,
Crag Spider,Tactician,1,7,9,-1,+2,,,,,,,,,,,,,,,,6,8,6,8,4,4,-2,-1,-2,-1,-3,-3,"Darkvision,Opportunity Attack,Web Walker",,
Larger Giant Spider,Balanced,3,32,14,+3,+2,,,,,,,,,,,,,,,,14,16,12,2,11,4,+2,+3,+1,-4,0,-3,"Darkvision,Opportunity Attack,Web Walker",,
Larger Giant Spider,Explorer,3,22,14,+3,+4,,,,,,,,,,,,,,,,14,16,12,2,11,4,+2,+3,+1,-4,0,-3,"Darkvision,Opportunity Attack,Web Walker",,
Larger Giant Spider,Tactician,3,41,14,+3,+2,,,,,,,,,,,,,,,,14,16,12,2,11,4,+2,+3,+1,-4,0,-3,"Darkvision,Opportunity Attack,Web Walker",,
Smaller Giant Spider,Balanced,3,24,15,+4,+2,,,,,,,,,,,,,,,,12,18,11,2,11,4,+1,+4,0,-4,0,-3,"Darkvision,Opportunity Attack,Web Walker",,
Smaller Giant Spider,Explorer,3,16,15,+4,+4,,,,,,,,,,,,,,,,12,18,11,2,11,4,+1,+4,0,-4,0,-3,"Darkvision,Opportunity Attack,Web Walker",,
Smaller Giant Spider,Tactician,3,31,15,+4,+2,,,,,,,,,,,,,,,,12,18,11,2,11,4,+1,+4,0,-4,0,-3,"Darkvision,Opportunity Attack,Web Walker",,
Sword Spider,Balanced,5,31,17,+4,+3,,,,,,,,,,,,,,,,14,18,13,6,9,4,+2,+4,+1,-2,-1,-3,"Darkvision,Web Walker,Extra Attack,Opportunity Attack",,
Sword Spider,Explorer,5,21,17,+4,+5,,,,,,,,,,,,,,,,14,18,13,6,9,4,+2,+4,+1,-2,-1,-3,"Darkvision,Web Walker,Extra Attack,Opportunity Attack",,
Sword Spider,Tactician,5,40,18,+5,+3,,,,,,,,,,,,,,,,14,20,13,6,9,4,+2,+5,+1,-2,-1,-3,"Darkvision,Web Walker,Extra Attack,Opportunity Attack",,
Lupus,Balanced,3,11,13,+2,0,,,,,,,,,,,,,,,,12,15,12,3,12,6,+1,+2,+1,-4,+1,-2,"Opportunity Attack,Prey's Scent",,
Lupus,Explorer,3,22,13,+2,+2,,,,,,,,,,,,,,,,12,15,12,3,12,6,+3,+4,+3,-2,+3,0,"Opportunity Attack,Prey's Scent",,
Lupus Major,Balanced,5,31,16,+2,+3,,,,,,,,,,,,,,,,12,15,15,3,12,6,+1,+2,+2,-4,+1,-2,"Companion's Bond,Opportunity Attack,Pack Tactics,Prey's Scent",,
Lupus Major,Explorer,5,62,18,+2,+5,,,,,,,,,,,,,,,,12,15,15,3,12,6,+6,+7,+7,+1,+6,+3,"Companion's Bond,Opportunity Attack,Pack Tactics,Prey's Scent",,
Lupus Optumus,Balanced,11,91,21,+4,+4,,,,,,,,,,,,,,,,12,18,15,3,12,6,+1,+4,+2,-4,+1,-2,"Bestial Fury,Companion's Bond,Exceptional Training,Opportunity Attack,Pack Tactics,Prey's Scent",,
Lupus Optumus,Explorer,11,182,23,+4,+6,,,,,,,,,,,,,,,,12,18,15,3,12,6,+7,+10,+8,+2,+7,+4,"Bestial Fury,Companion's Bond,Exceptional Training,Opportunity Attack,Pack Tactics,Prey's Scent",,
Dire Wolf,Balanced,1,37,14,+2,+2,,,,,,,,,,,,,,,,17,15,15,3,12,7,+3,+2,+2,-4,+1,-2,"Opportunity Attack,Pack Tactics",,
Dire Wolf,Explorer,1,25,14,+2,+4,,,,,,,,,,,,,,,,17,15,15,3,12,7,+3,+2,+2,-4,+1,-2,"Opportunity Attack,Pack Tactics",,
Dire Wolf,Tactician,1,48,14,+2,+2,,,,,,,,,,,,,,,,17,15,15,3,12,7,+3,+2,+2,-4,+1,-2,"Opportunity Attack,Pack Tactics",,
Dire Wolf,Balanced,1,18,14,+2,+2,,,,,,,,,,,,,,,,17,15,15,3,12,7,+3,+2,+2,-4,+1,-2,"Opportunity Attack,Pack Tactics",,
Cat,Balanced,1,2,12,+2,+2,,,,,,,,,,,,,,,,3,15,10,3,12,7,-4,+2,0,-4,+1,-2,"Darkvision,Feline Fall,Opportunity Attack",,
Chicken,Balanced,9,1,10,0,+4,,,,,,,,,,,,,,,,1,10,8,1,7,3,-5,0,-1,-5,-2,-4,,,
Deep Rothé,Balanced,1,13,10,0,+2,,,,,,,,,,,,,,,,18,10,14,2,10,4,+4,0,+2,-4,0,-3,Opportunity Attack,,
Deep Rothé,Explorer,1,9,10,0,+4,,,,,,,,,,,,,,,,18,10,14,2,10,4,+4,0,+2,-4,0,-3,Opportunity Attack,,
Deep Rothé,Tactician,1,16,10,0,+2,,,,,,,,,,,,,,,,18,10,14,2,10,4,+4,0,+2,-4,0,-3,Opportunity Attack,,
Dilophosaurus,Balanced,10,74,14,+1,+4,,,,,,,,,,,,,,,,19,13,17,2,12,5,+4,+1,+3,-4,+1,-3,Opportunity Attack,,
Dilophosaurus,Tactician,10,96,14,+1,+4,,,,,,,,,,,,,,,,19,13,17,2,12,5,+4,+1,+3,-4,+1,-3,Opportunity Attack,,
Dog,Balanced,,5,14,+2,,,,,,,,,,,,,,,,,13,14,12,3,12,7,+1,+2,+1,-4,+1,-2,,,
Owlbear,Balanced,3,91,13,+1,+2,INT,6,,,,,,,,,,,,,,20,12,17,3,12,7,+5,+1,+3,-4,+1,-2,"Darkvision,Multiattack: Enraged,Opportunity Attack",Distressed,
Owlbear,Explorer,3,63,13,+1,+4,INT,8,,,,,,,,,,,,,,20,12,17,3,12,7,+5,+1,+3,-4,+1,-2,"Darkvision,Multiattack: Enraged,Opportunity Attack",Distressed,
Owlbear,Tactician,3,118,13,+1,+2,INT,8,,,,,,,,,,,,,,20,12,17,3,12,7,+5,+1,+3,-4,+1,-2,"Darkvision,Multiattack: Enraged,Opportunity Attack",Distressed,
Owlbear,Honour,3,118,13,+1,+2,INT,8,,,,,,,,,,,,,,20,12,17,3,12,7,+5,+1,+3,-4,+1,-2,"Darkvision,Legendary Action: Call Consort,Multiattack: Enraged,Opportunity Attack","Distressed,Legendary Action: Call Consort","Call Consort,Legendary Action: Call Consort"
Pig,Balanced,1,5,10,0,+2,,,,,,,,,,,,,,,,13,11,12,2,9,5,+1,0,+1,-4,-1,-3,,,
Pig,Tactician,1,6,10,0,+2,,,,,,,,,,,,,,,,13,11,12,2,9,5,+1,0,+1,-4,-1,-3,,,
Squirrel,Balanced,1,1,10,0,+2,,,,,,,,,,,,,,,,2,11,9,2,10,4,-4,0,-1,-4,0,-3,,,
Squirrel,Explorer,1,1,10,0,+4,,,,,,,,,,,,,,,,2,11,9,2,10,4,-4,0,-1,-4,0,-3,,,
Squirrel,Tactician,1,1,10,0,+2,,,,,,,,,,,,,,,,2,11,9,2,10,4,-4,0,-1,-4,0,-3,,,
Sheep,Balanced,1,3,10,0,+2,,,,,,,,,,,,,,,,12,10,11,2,10,5,+1,0,0,-4,0,-3,,,
Sheep,Explorer,1,2,10,0,+4,,,,,,,,,,,,,,,,12,10,11,2,10,5,+1,0,0,-4,0,-3,,,
Sheep,Tactician,1,3,10,0,+2,,,,,,,,,,,,,,,,12,10,11,2,10,5,+1,0,0,-4,0,-3,,,
Tingmiaq,Balanced,1,5,12,+2,+2,,,,,,,,,,,,,,,,2,15,8,2,12,7,-4,+2,-1,-4,+1,-2,,,
Tingmiaq,Explorer,1,3,12,+2,+4,,,,,,,,,,,,,,,,2,15,8,2,12,7,-4,+2,-1,-4,+1,-2,,,
Tingmiaq,Tactician,1,6,12,+2,+2,,,,,,,,,,,,,,,,2,15,8,2,12,7,-4,+2,-1,-4,+1,-2,,,
Topaz,Balanced,1,5,12,+2,+2,,,,,,,,,,,,,,,,2,15,8,2,12,7,-4,+2,-1,-4,+1,-2,,,
Topaz,Explorer,1,3,12,+2,+4,,,,,,,,,,,,,,,,2,15,8,2,12,7,-4,+2,-1,-4,+1,-2,,,
Topaz,Tactician,1,6,12,+2,+2,,,,,,,,,,,,,,,,2,15,8,2,12,7,-4,+2,-1,-4,+1,-2,,,
Wounded Bird,Balanced,1,5,12,+2,+2,,,,,,,,,,,,,,,,2,15,8,2,12,7,-4,+2,-1,-4,+1,-2,,,
Wounded Bird,Explorer,1,3,12,+2,+4,,,,,,,,,,,,,,,,2,15,8,2,12,7,-4,+2,-1,-4,+1,-2,,,
Wounded Bird,Tactician,1,6,12,+2,+2,,,,,,,,,,,,,,,,2,15,8,2,12,7,-4,+2,-1,-4,+1,-2,,,
Blast Cannon,Balanced,,0,10,0,,,,,,,,,,,,,,,,,10,10,10,10,10,10,0,0,0,0,0,0,Opportunity Attack,,
Bitey Buddy,Balanced,5,46,17,+4,+3,,,,,,,,,,,,,,,,15,18,12,10,13,11,+2,+4,+1,0,+1,0,"Darkvision,Opportunity Attack",Barkskin,
Bitey Buddy,Explorer,5,32,17,+4,+5,,,,,,,,,,,,,,,,15,18,12,10,13,11,+2,+4,+1,0,+1,0,"Darkvision,Opportunity Attack",Barkskin,
Bitey Buddy,Tactician,5,59,17,+4,+3,,,,,,,,,,,,,,,,15,18,12,10,13,11,+2,+4,+1,0,+1,0,"Darkvision,Opportunity Attack",Barkskin,
Bloodmarrow Skeleton,Balanced,5,29,11,0,+3,,,Vulnerable,,,,,,,,,Immune,,,,16,10,16,6,8,5,+3,0,+3,-2,-1,-3,"Darkvision,Opportunity Attack,Silent",,
Bloodmarrow Skeleton,Explorer,5,20,11,0,+5,,,Vulnerable,,,,,,,,,Immune,,,,16,10,16,6,8,5,+3,0,+3,-2,-1,-3,"Darkvision,Opportunity Attack,Silent",,
Bloodmarrow Skeleton,Tactician,5,37,11,0,+3,,,Vulnerable,,,,,,,,,Immune,,,,16,10,16,6,8,5,+3,0,+3,-2,-1,-3,"Darkvision,Opportunity Attack,Silent",,
Boar,Balanced,,11,11,0,,,,,,,,,,,,,,,,,13,11,12,2,9,5,+1,0,+1,-4,-1,-3,Opportunity Attack,,
Boar,Explorer,,7,11,0,,,,,,,,,,,,,,,,,13,11,12,2,9,5,+1,0,+1,-4,-1,-3,Opportunity Attack,,
Boar,Tactician,,14,11,0,,,,,,,,,,,,,,,,,13,11,12,2,9,5,+1,0,+1,-4,-1,-3,Opportunity Attack,,
Bugbear,Balanced,3,27,14,+2,+2,,,,,,,,,,,,,,,,15,14,13,8,11,9,+2,+2,+1,-1,0,-1,"Brute,Darkvision,Tenacity,Opportunity Attack",,
Bugbear,Explorer,3,18,14,+2,+4,,,,,,,,,,,,,,,,15,14,13,8,11,9,+2,+2,+1,-1,0,-1,"Brute,Darkvision,Tenacity",,
Bugbear,Tactician,3,35,14,+2,+2,,,,,,,,,,,,,,,,15,14,13,8,11,9,+2,+2,+1,-1,0,-1,"Brute,Darkvision,Tenacity,Opportunity Attack,Savage Attacker",,
Bulette,Balanced,5,125,17,0,+3,,,,,,,,,,,,,,,,19,11,21,2,10,5,+7,+3,+5,-4,0,-3,"Darkvision,Opportunity Attack,Territorial",,
Bulette,Explorer,5,87,17,0,+5,,,,,,,,,,,,,,,,19,11,21,2,10,5,+9,+5,+5,-4,0,-3,"Darkvision,Opportunity Attack,Territorial",,
Bulette,Tactician,5,162,17,0,+3,,,Resistance to Non-Magical,Resistance to Non-Magical,Resistance to Non-Magical,Full Resistance,,,,,,,,,,19,11,21,2,10,5,+7,+3,+5,-4,0,-3,"Darkvision,Opportunity Attack,Territorial",,
Bulette,Honour,5,162,17,0,+3,,,Resistance to Non-Magical,Resistance to Non-Magical,Resistance to Non-Magical,Full Resistance,,,,,,,,,,19,11,21,2,10,5,+7,+3,+5,-4,0,-3,"Darkvision,Opportunity Attack,Territorial",Diamond Scales,"Shredding Scales,Legendary Action: Shredding Scales"
Cambion,Balanced,4,82,18,+4,+2,,,Resistance to Non-Magical,Resistance to Non-Magical,Resistance to Non-Magical,,Full Resistance,Full Resistance,,Full Resistance,,Full Resistance,,,,18,18,16,14,12,16,+6,+4,+5,+4,+1,+5,"Darkvision,Fiendish Blessing,Opportunity Attack",,
Cambion,Explorer,4,57,18,+4,+4,,,Resistance to Non-Magical,Resistance to Non-Magical,Resistance to Non-Magical,,Full Resistance,Full Resistance,,Full Resistance,,Full Resistance,,,,18,18,16,14,12,16,+8,+4,+7,+6,+1,+7,"Darkvision,Fiendish Blessing,Opportunity Attack",,
Cambion,Tactician,4,106,18,+4,+2,,,Resistance to Non-Magical,Resistance to Non-Magical,Resistance to Non-Magical,,Full Resistance,Full Resistance,,Full Resistance,,Full Resistance,,,,18,18,16,14,12,16,+6,+4,+5,+4,+1,+5,"Darkvision,Fiendish Blessing,Opportunity Attack",,
Cat,Balanced,1,2,12,+2,+2,,,,,,,,,,,,,,,,6,15,10,3,12,7,-2,+2,0,-4,+1,-2,"Darkvision,Feline Fall,Opportunity Attack",,
Cat,Explorer,1,4,12,+2,+4,,,,,,,,,,,,,,,,6,15,10,3,12,7,-2,+2,0,-4,+1,-2,"Darkvision,Feline Fall,Opportunity Attack",,
Valeria,Balanced,10,52,18,0,+4,,,Full Resistance,Full Resistance,Full Resistance,,,,,,,Full Resistance,,,,10,11,12,16,19,16,0,+4,+5,+3,+4,+7,Opportunity Attack,,
Valeria,Explorer,10,36,18,0,+6,,,Full Resistance,Full Resistance,Full Resistance,,,,,,,Full Resistance,,,,10,11,12,16,19,16,0,+6,+7,+3,+4,+9,Opportunity Attack,,
Valeria,Tactician,10,67,18,0,+4,,,Full Resistance,Full Resistance,Full Resistance,,,,,,,Full Resistance,,,,10,11,12,16,19,16,0,+4,+5,+3,+4,+7,Opportunity Attack,,
Deva,Balanced,10,136,21,+8,+4,,,Resistance to Non-Magical,Resistance to Non-Magical,Resistance to Non-Magical,,,,,,,,,Full Resistance,,18,18,18,17,20,20,+4,+4,+4,+3,+9,+9,"Opportunity Attack,Permanently Armed",,
Deva,Explorer,10,272,21,+8,+6,,,Resistance to Non-Magical,Resistance to Non-Magical,Resistance to Non-Magical,,,,,,,,,Full Resistance,,18,18,18,17,20,20,+10,+10,+10,+9,+11,+11,"Opportunity Attack,Permanently Armed",,
Moonlight Sliver,Balanced,11,200,24,+7,+4,,,Resistance to Non-Magical,Resistance to Non-Magical,Resistance to Non-Magical,,,,,,,,,Immune,,18,16,14,12,14,18,+4,+3,+2,+1,+6,+8,"Divine Health,Extra Attack,Magic Resistance,Opportunity Attack,Permanently Armed,Selûne's Ire","Brand of the Silverlight,Lunar Legionary,Selûne's Ire",
Moonlight Sliver,Explorer,11,139,24,+7,+6,,,Resistance to Non-Magical,Resistance to Non-Magical,Resistance to Non-Magical,,,,,,,,,Immune,,18,16,14,12,14,18,+4,+3,+2,+1,+8,+10,"Divine Health,Magic Resistance,Opportunity Attack,Permanently Armed,Selûne's Ire","Brand of the Silverlight,Lunar Legionary,Selûne's Ire",
Moonlight Sliver,Tactician,11,260,24,+7,+4,,,Resistance to Non-Magical,Resistance to Non-Magical,Resistance to Non-Magical,,,,,,,,,Immune,,18,16,14,12,14,18,+4,+3,+2,+1,+6,+8,"Divine Health,Extra Attack,Magic Resistance,Opportunity Attack,Permanently Armed,Selûne's Ire,War Caster: Concentration","Brand of the Silverlight,Lunar Legionary,Selûne's Ire",
Sahuagin Champion,Balanced,9,99,18,+2,+4,,,Full Resistance,Full Resistance,Full Resistance,,,,,,,,,,,20,14,17,12,13,15,+7,+4,+5,+3,+3,+4,"Extra Attack,Fishfolk Faithful,Opportunity Attack,Scenting Blood","Aura of Protection,Invigorating Fanaticism",
Sahuagin Champion,Explorer,9,69,18,+2,+6,,,Full Resistance,Full Resistance,Full Resistance,,,,,,,,,,,20,14,17,12,13,15,+7,+4,+5,+3,+3,+4,"Extra Attack,Fishfolk Faithful,Opportunity Attack,Scenting Blood","Aura of Protection,Invigorating Fanaticism",
Sahuagin Champion,Tactician,9,128,18,+2,+4,,,Full Resistance,Full Resistance,Full Resistance,,,,,,,,,,,20,14,17,12,13,15,+7,+4,+5,+3,+3,+4,"Extra Attack,Fishfolk Faithful,Opportunity Attack,Scenting Blood","Aura of Protection,Invigorating Fanaticism",
