Name,Image,Location,Type,Rarity,Armour Type,Weight,Cost,AC,AC Mod,AC Bonus,No Crit,Resistances,Vulnerability,Skill,Skill Bonus,Skill Factor,ST Ability,ST Bonus,ST Factor,Spells,Level,Recharge,Features,Ability,Ability Bonus,Max Ability,AR Types,AR Bonus,AR Factor,Movement,Conditions,Act,Description,,Armour,Armour|Clothing,Headwear,Footwear,Cloak,Ring,Amulet,Shield,Handwear
Cloak of the Weave,,,Cloak,Very Rare,Non-Armour,0.5kg,300,,,,FALSE,,,,,,,,,Absorb Elements,,Short Rest,Arcane Enchantment (Cloak of the Weave),,,,,,,,,3,"Cloak of the Weave is a very rare Cloak that allows the wearer to absorb a small amount of magical damage, and add it to their next attack. It also gives better Spell Save DC and Spell Attack Rolls.",,,,,,,,,,
Mantle of the Holy Warrior,,,Cloak,Very Rare,Non-Armour,0.5kg,630,,,,FALSE,,,,,,,,,Crusader's Mantle,3,Short Rest,,,,,,,,,,3,The Mantle of the Holy Warrior is a Very Rare Cloak that grants the wearer the ability to cast Crusader's Mantle.,,,,,,,,,,
Nymph Cloak,,,Cloak,Very Rare,Non-Armour,0.5kg,360,,,,FALSE,,,,,,,,,Dominate Person,5,Long Rest,,,,,,,,,,3,Nymph Cloak is a very rare Cloak that allows the wearer to cast Dominate Person once per Long Rest.,,,,,,,,,,
Shade-Slayer Cloak,,,Cloak,Very Rare,Non-Armour,0.5kg,360,,,,FALSE,,,,,,,,,,,,Stealthy Critical,,,,,,,,,3,Shade-Slayer Cloak is a very rare Cloak that reduces the number you need to roll a Critical Hit while hiding.,,,,,,,,,,
Drow Leather Gloves,,,Handwear,Common,Non-Armour,0.5,20,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Drow Leather Gloves are a common pair of Gloves worn by the Drow.,,,,,,,,,,
Druidic Bracers,,,Handwear,Common,Non-Armour,0.5,20,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Druidic Gloves are a common pair of Gloves.,,,,,,,,,,
Gloves (Equipment),,,Handwear,Common,Non-Armour,0.5,20,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Gloves are a common pair of Gloves. While coming in varying appearances, these gloves offer no benefits beyond cosmetic appeal or as an item to sell off.",,,,,,,,,,
Gloves (Equipment),,,Handwear,Common,Non-Armour,0.5,20,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Gloves are a common pair of Gloves. While coming in varying appearances, these gloves offer no benefits beyond cosmetic appeal or as an item to sell off.",,,,,,,,,,
Leather Bracers,,,Handwear,Common,Non-Armour,0.5,20,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Leather Bracers are a common pair of Gloves. These bracers offer no benefits beyond cosmetic appeal or as an item to sell off.,,,,,,,,,,
Leather Gloves,,,Handwear,Common,Non-Armour,0.5,20,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,"Leather Gloves are a common pair of Gloves. While coming in varying appearances, these gloves offer no benefits beyond cosmetic appeal or as an item to sell off.",,,,,,,,,,
Nettie's Gloves,,,Handwear,Common,Non-Armour,0.5,20,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Nettie's Gloves are a common pair of Gloves belonging to the Druid Nettie. These gloves offer no benefits beyond cosmetic appeal or as an item to sell.,,,,,,,,,,
Braindrain Gloves,,,Handwear,Uncommon,Non-Armour,0.5,90,,,,FALSE,,,,,,,,,,,,Mental Interference,,,,,,,,,2,Braindrain Gloves are an uncommon pair of Gloves that inflicts Mental Fatigue on a foe whenever the wearer deals ⁠Psychic damage to them.,,,,,,,,,,
Dark Justiciar Gauntlets (Uncommon),,,Handwear,Uncommon,Non-Armour,0.5,110,,,,FALSE,,,,,,,1,,,,,Umbral Attack,,,,,,,,,2,The Dark Justiciar Gauntlets are an uncommon pair of Gloves that cause weapon attacks to deal an additional 1d4 Necrotic damage.,,,,,,,,,,
Fleetfingers,,,Handwear,Uncommon,Non-Armour,0.5,90,,,,FALSE,,,,,,,,,,,,Running Jump,,,,,,,,,1,The Fleetfingers are an uncommon pair of Gloves that allow the wearer to Jump after using Dash without costing a bonus action.,,,,,,,,,,
Gloves of Archery,,,Handwear,Uncommon,Non-Armour,0.5,60,,,,FALSE,,,,,,,,,,,,Corellon's Guiding Hand,,,,,,,,,1,"Gloves of Archery are an uncommon Gloves that grants the wearer Proficiency with Longbows and Shortbows, as well as +2 damage with ranged weapon attacks.",,,,,,,,,,
Gloves of Baneful Striking,,,Handwear,Uncommon,Non-Armour,0.5,90,,,,FALSE,,,,,,,,,,,,Baneful Strike,,,,,,,,,2,The Gloves of Baneful Striking are an uncommon pair of Gloves that applies a penalty to its saving throws against the wearer's spells.,,,,,,,,,,
Gloves of Belligerent Skies,,,Handwear,Uncommon,Non-Armour,0.5,90,,,,FALSE,,,,,,,,,,,,Thunderous Conversion,,,,,,,,,2,"The Gloves of Belligerent Skies are an uncommon pair of Gloves that inflict Reverberation when the wearer deals Thunder, Lightning or Radiant damage.",,,,,,,,,,
Gloves of Hail of Thorns,,,Handwear,Uncommon,Non-Armour,0.5,90,,,,FALSE,,,,,,,,,Hail of Thorns,1,Short Rest,,,,,,,,,,1,Gloves of Hail of Thorns are an uncommon pair of Gloves that grants the wearer the to ability to cast Hail of Thorns.,,,,,,,,,,
Gloves of Heroism,,,Handwear,Uncommon,Non-Armour,0.5,110,,,,FALSE,,,,,,STR,1,,,,,Warding Hands,,,,,,,,,1,The Gloves of Heroism are an uncommon pair of gloves that grants their wearer Heroism whenever using Channel Oath spells.,,,,,,,,,,
Gloves of Power,,,Handwear,Uncommon,Non-Armour,0.5,90,,,,FALSE,,,Sleight of Hand,1,,,,,,,,Absolute's Bane,,,,,,,,,1,Gloves of Power are an uncommon pair of Gloves that allows the wearer to inflict Bane on weapon attacks.,,,,,,,,,,
Gloves of the Growling Underdog,,,Handwear,Uncommon,Non-Armour,0.5,110,,,,FALSE,,,,,,STR,1,,,,,Underdog's Bravery,,,,,,,,,1,The Gloves of the Growling Underdog are an uncommon pair of Gloves which grant the wearer  Advantage on their melee attack rolls while surrounded by 2 or more enemies.,,,,,,,,,,
Gloves of Thievery,,,Handwear,Uncommon,Non-Armour,0.5,60,,,,FALSE,,,Sleight of Hand,,ADV,,,,,,,,,,,,,,,,1,Gloves of Thievery are an uncommon pair of Gloves that give the wearer  Advantage on Sleight of Hand checks.,,,,,,,,,,
Hellrider's Pride,,,Handwear,Uncommon,Non-Armour,0.5,110,,,,FALSE,,,,,,STR,1,,,,,Helm's Protection,,,,,,,,,1,The Hellrider's Pride are an uncommon pair of Gloves that grant a creature resistance to the physical damage of weapon attacks when healed by the wearer of these gauntlets.,,,,,,,,,,
Herbalist's Gloves,,,Handwear,Uncommon,Non-Armour,0.5,90,,,,FALSE,,,,,,,,,,,,Cleansing Touch,,,,,,,,,1,The Herbalist's Gloves are an uncommon pair of gloves that cleanse poison from those the wearer heals.,,,,,,,,,,
Ichorous Gloves,,,Handwear,Uncommon,Non-Armour,0.5,90,,,,FALSE,,,,,,,,,,,,Ichorous Corrosion,,,,,,,,,2,Ichorous Gloves are an uncommon set of Gloves that can inflict Noxious Fumes on targets that are dealt Acid damage.,,,,,,,,,,
Knock Knuckle Gloves,,,Handwear,Uncommon,Non-Armour,0.5,90,,,,FALSE,,,Sleight of Hand,1,,,,,Knock,2,Long Rest,,,,,,,,,,3,Knock Knuckle Gloves are uncommon Gloves that grant the spell Knock and increases Sleight of Hand by 1.,,,,,,,,,,
Luminous Gloves,,,Handwear,Uncommon,Non-Armour,0.5,110,,,,FALSE,,,,,,STR,1,,,,,Radiating Orb Gloves,,,,,,,,,2,The Luminous Gloves are an uncommon pair of Gloves that causes the wearer's Radiant damage to afflict struck foes with the Radiating Orb condition.,,,,,,,,,,
Reason's Grasp,,,Handwear,Uncommon,Non-Armour,0.5,90,,,,FALSE,,,,,,,,,,,,Ever Vigilant,,,,,,,,,1,Reason's Grasp are an uncommon pair of Gloves that give the wearer Temporary Hit Points if they choose to end their Rage.,,,,,,,,,,
Thermoarcanic Gloves,,,Handwear,Uncommon,Non-Armour,0.5,90,,,,FALSE,,,,,,,,,,,,Arcane Ashes,,,,,,,,,2,Thermoarcanic Gloves are an uncommon pair of Gloves which grants the wearer 2 turns of Heat whenever they deal Fire damage.,,,,,,,,,,
Unlucky Thief's Gloves,,,Handwear,Uncommon,Non-Armour,0.5,1,,,,FALSE,,,Sleight of Hand,2,,,,,,,,,,,,,,,,,3,Unlucky Thief's Gloves are an uncommon Gloves that grants the wearer +2 to Sleight of Hand checks.,,,,,,,,,,
Winter's Clutches,,,Handwear,Uncommon,Non-Armour,0.5,90,,,,FALSE,,,,,,,,,,,,Winter's Clutches,,,,,,,,,2,The Winter's Clutches are an uncommon pair of Gloves that allow the wearer to inflict Encrusted with Frost on enemies whenever they deal Cold damage.,,,,,,,,,,
Bracers of Defence,,,Handwear,Rare,Non-Armour,0.5,160,,,,FALSE,,,,,,,,,,,,Become the Bulwark,,,,,,,,,1,Bracers of Defence are a rare pair of Gloves which increase the wearer's Armour Class by 2 when unarmoured and not holding a shield.,,,,,,,,,,
Cerebral Citadel Gloves,,,Handwear,Rare,Non-Armour,0.5,290,,,,FALSE,,,,,,STR,1,,,,,Illithid Euphoria,,,,,,,,,3,The Cerebral Citadel Gloves are rare gloves that provide a bonus to Attack Rolls and Saving Throws when a character Charms or Frightens a creature.,,,,,,,,,,
Cindersnap Gloves,,,Handwear,Rare,Non-Armour,0.5,240,,,,FALSE,,,,,,,,,Protection from Missiles,2,Short Rest,,,,,,,,,,2,Cindersnap Gloves are a rare pair of Gloves that grants the spell Protection from Missiles.,,,,,,,,,,
Craterflesh Gloves,,,Handwear,Rare,Non-Armour,0.5,290,,,,FALSE,,,,,,STR,1,,,,,Craterous Wounds,,,,,,,,,3,Craterflesh Gloves are a rare pair of Gloves that deal additional Force damage on a Critical Hit.,,,,,,,,,,
Daredevil Gloves,,,Handwear,Rare,Non-Armour,0.5,240,,,,FALSE,,,,,,,,,,,,"Doom Lobber, Daredevil Proximity",,,,,,,,,2,Daredevil Gloves are a rare pair of Gloves that enhance Spell Attack Rolls and enable casting spells without Disadvantage even when adjacent to an enemy.,,,,,,,,,,
Dark Displacement Gloves,,,Handwear,Rare,Non-Armour,0.5,160,,,,FALSE,,,Sleight of Hand,1,,,,,,,,Subtle Swap,,,,,,,,,3,Dark Displacement Gloves are a rare pair of Gloves that grant their wearer +1 Sleight of Hand. They also give a +1 Attack Roll bonus when attacking with thrown weapons and swap positions with these targets if they fail a Dexterity Saving Throw.,,,,,,,,,,
Dark Justiciar Gauntlets (Rare),,,Handwear,Rare,Non-Armour,0.5,290,,,,FALSE,,,,,,STR,1,,Beckoning Darkness,4,Per Turn,Umbral Attack,,,,,,,,,,The Dark Justiciar Gauntlets are a rare pair of Gloves that cause weapon attacks to deal an additional 1d4 Necrotic damage. It also grants better Strength Saving Throws and allows the wearer to cast Beckoning Darkness once per turn.,,,,,,,,,,
Flawed Helldusk Gloves,,,Handwear,Rare,Non-Armour,0.5,290,,,,FALSE,,,,,,STR,1,,,,,Lesser Infernal Touch,,,,,,,,,2,Flawed Helldusk Gloves are a rare pair of gloves that grant 1d4 Fire damage to weapon attacks. Unarmed attacks deal an additional 1d4 Necrotic damage and have a chance to inflict Bleeding.,,,,,,,,,,
Gloves of Battlemage's Power,,,Handwear,Rare,Non-Armour,0.5,290,,,,FALSE,,,,,,STR,1,,,,,Battlemage's Power,,,,,,,,,2,Gloves of Battlemage's Power is a set of rare Gloves. They allow the wearer to gain Arcane Acuity whenever they hit a target with a spell or cantrip that uses a weapon.,,,,,,,,,,
Gloves of Cinder and Sizzle,,,Handwear,Rare,Non-Armour,0.5,240,,,,FALSE,,,,,,,,,Scorching Ray,3,Long Rest,Dragonfire Fists,,,,,,,,,2,The Gloves of Cinder and Sizzle are a rare pair of Gloves that give the wearer Fire damage to their unarmed attacks and the ability to cast Scorching Ray once per Long Rest.,,,,,,,,,,
Gloves of Crushing,,,Handwear,Rare,Non-Armour,0.5,160,,,,FALSE,,,,,,,,,,,,Crushing Blows,,,,,,,,,2,Gloves of Crushing are rare gloves that enhance unarmed attack rolls and grant bonus Bludgeoning damage to unarmed attacks.,,,,,,,,,,
Gloves of Missile Snaring,,,Handwear,Rare,Non-Armour,0.5,160,,,,FALSE,,,,,,,,,Missile Snaring,,,,,,,,,,,,1,Gloves of Missile Snaring is a rare pair of gloves that allows the wearer to use Missile Snaring to reduce incoming ranged damage as a Reaction.,,,,,,,,,,
Gloves of the Automaton,,,Handwear,Rare,Non-Armour,0.5,290,,,,FALSE,,,,,,STR,1,,Circuitry Interface,,,,,,,,,,,,2,"The Gloves of the Automaton are a rare pair of Gloves which, when activated, cause the wearer to be treated as a Construct and grant Advantage on weapon attacks for 10 turns.",,,,,,,,,,
Gloves of the Balanced Hands,,,Handwear,Rare,Non-Armour,0.5,160,,,,FALSE,,,,,,,,,,,,Two-Weapon Fighting,,,,,,,,,2,Gloves of the Balanced Hands are a rare pair of Gloves that adds the wearer's Ability Modifier to damage when they make an attack with their off-hand weapon.,,,,,,,,,,
Gloves of The Duellist,,,Handwear,Rare,Non-Armour,0.5,160,,,,FALSE,,,,,,,,,,,,Duelling Gloves,,,,,,,,,2,Gloves of The Duellist are a rare pair of Gloves that enhance melee weapon Attack Rolls when the wearer only holds one weapon in the main hand.,,,,,,,,,,
Gloves of Uninhibited Kushigo,,,Handwear,Rare,Non-Armour,0.5,240,,,,FALSE,,,,,,,,,,,,Kushigo's Might,,,,,,,,,1,Gloves of Uninhibited Kushigo is a rare pair of gloves that deals additional damage with Throw attacks and Improvised Weapons attacks.,,,,,,,,,,
Jhannyl's Gloves,,,Handwear,Rare,Non-Armour,0.5,240,,,,FALSE,,,,,,,1,,,,,Defy Villainy,,,,,,,,,2,"Jhannyl's Gloves are a rare pair of Gloves that lets the wearer automatically cast Lesser Restoration on themselves when they become Blinded, Paralysed or Poisoned.",,,,,,,,,,
Martial Exertion Gloves,,,Handwear,Rare,Non-Armour,0.5,160,,,,FALSE,,,,,,,,,Martial Exertion,,Short Rest,,,,,,,,,,3,Martial Exertion Gloves are a rare pair of Gloves that allows the wearer to gain an additional attack and double its movement speed for one turn at the cost of taking some damage.,,,,,,,,,,
Nimblefinger Gloves,,,Handwear,Rare,Non-Armour,0.5,160,,,,FALSE,,,Sleight of Hand,1,,,,,,,,Nimblefinger,,,,,,,,,3,"Nimblefinger Gloves are a rare pair of Gloves that grant a Dexterity bonus to Gnomes, Halflings, and Dwarves, and a bonus to Sleight of Hand.",,,,,,,,,,
Poisoner's Gloves,,,Handwear,Rare,Non-Armour,0.5,240,,,,FALSE,,,,,,,,,,,,Envenom,,,,,,,,,2,Poisoner's Gloves are a rare set of Gloves which has a chance to poison a target every time it receives Poison damage.,,,,,,,,,,
Raven Gloves,,,Handwear,Rare,Non-Armour,0.5,160,,,,FALSE,,,,,,,,,Summon Quothe the Raven,3,Short Rest,,,,,,,,,,2,Raven Gloves are rare Gloves that allow the wearer to summon a Raven.,,,,,,,,,,
Seraphic Pugilist Gloves,,,Handwear,Rare,Non-Armour,0.5,240,,,,FALSE,,,,,,,,,Guiding Bolt,4,Long Rest,Angelclocker Knuckles,,,,,,,,,3,Seraphic Pugilist Gloves are a rare pair of gloves that give additional 1d4 Radiant damage to unarmed attacks and give the ability to cast Guiding Bolt.,,,,,,,,,,
Servitor of the Black Hand Gloves,,,Handwear,Rare,Non-Armour,0.5,240,,,,FALSE,,,,,,,,,Fear,3,Long Rest,Enervating Suffusion,,,,,,,,,,The Servitor of the Black Hand Gloves are a rare pair of Gloves that give additional Force damage to unarmed attacks and allows the wearer to cast Fear once per Long Rest.,,,,,,,,,,
Snow-Dusted Monastery Gloves,,,Handwear,Rare,Non-Armour,0.5,450,,,,FALSE,,,,,,,,,Ice Knife,3,Long Rest,Chilling Strike,,,,,,,,,3,Snow-Dusted Monastery Gloves are a rare pair of Gloves that cause the wearer's unarmed attacks to deal an additional 1d4 Cold damage. It also grants the ability to cast Ice Knife as a 3rd level spell once per Long Rest.,,,,,,,,,,
Spellseeking Gloves,,,Handwear,Rare,Non-Armour,0.5,160,,,,FALSE,,,,,,,,,,,,Seeking Spell,,,,,,,,,3,Spellseeking Gloves are rare Gloves that allow the wearer to spend a Sorcery Point to gain Advantage when making a spell attack roll.,,,,,,,,,,
Stalker Gloves,,,Handwear,Rare,Non-Armour,0.5,400,,,,FALSE,,,,,,,,,,,,"Seldom Caught Unawares (Stalker Gloves), Skullduggery Attack",,,,,,,,,3,Stalker Gloves are a rare pair of gloves which improve the wearer's Sneak Attack and Initiative.,,,,,,,,,,
Swordmaster Gloves,,,Handwear,Rare,Non-Armour,0.5,160,,,,FALSE,,,,,,,,,,,,Sword Mastery,,,,,,,,,2,The Swordmaster Gloves are a rare pair of Gloves that grant proficiency in three types of sword and provide a bonus to melee Attack Rolls.,,,,,,,,,,
The Sparkle Hands,,,Handwear,Rare,Non-Armour,0.5,110,,,,FALSE,,,,,,,,,,,,"Conductive Strikes, Effective Transmitter",,,,,,,,,1,The Sparkle Hands are a pair of rare Gloves that grant Lightning Charges on unarmed attacks and provides Advantage against metal constructs and armoured foes while charged.,,,,,,,,,,
Thunderpalm Strikers,,,Handwear,Rare,Non-Armour,0.5,450,,,,FALSE,,,,,,,,,Thunderwave,3,Long Rest,Booming Blows,,,,,,,,,3,Thunderpalm Strikers are a rare pair of Gloves that add Thunder damage to unarmed attacks and allow the wearer to cast Thunderwave once per Long Rest.,,,,,,,,,,
Winkling Gloves,,,Handwear,Rare,Non-Armour,0.5,240,,,,FALSE,,,Sleight of Hand,1,,,,,,,,,,,,,1,,,,3,Winkling Gloves are a Rare pair of Gloves that improves your Attack Rolls and Sleight of Hand checks.,,,,,,,,,,
Wondrous Gloves,,,Handwear,Rare,Non-Armour,0.5,160,,,,FALSE,,,,,,,,,,,,Troubadour's Wonder,,,,,,,,,1,The Wondrous Gloves are a rare pair of gloves that increase AC and give Bards an additional Bardic Inspiration.,,,,,,,,,,
Abyss Beckoners,,,Handwear,Very Rare,Non-Armour,0.5,450,,,,FALSE,,,,,,,,,,,,Demonspirit Aura,,,,,,,,,1,The Abyss Beckoners are a very rare pair of gloves which improve the damage resistance of summons at the risk of driving them Mad.,,,,,,,,,,
Bhaalist Gloves,,,Handwear,Very Rare,Non-Armour,0.5,540,,,,FALSE,,,,,,,,,Garrotte,,Short Rest,,,,,,1,,,,3,Bhaalist Gloves are a very rare pair of Gloves that allow the wearer to Garrotte a target.,,,,,,,,,,
Bonespike Gloves,,,Handwear,Very Rare,Non-Armour,0.5,300,,,,FALSE,,,,,,,,,,,,Exoskeletal Reinforcement,,,,,,,,,3,"Bonespike Gloves is a pair of very rare gloves that make your attacks ignore Resistance to Slashing, Piercing, and Bludgeoning damage.",,,,,,,,,,
Gauntlet of the Tyrant,,,Handwear,Very Rare,Non-Armour,0.5,300,,,,FALSE,,,,,,,,,Command,3,Long Rest,"Enervating Suffusion, High Spellcasting (+1)",,,,,,,,,3,Gauntlet of the Tyrant is a very rare Glove that grants +1 Spell Save DC and additional Force damage for unarmed attacks. Also grants the Command spell.,,,,,,,,,,
Gauntlets of Hill Giant Strength,,,Handwear,Very Rare,Non-Armour,0.5,540,,,,FALSE,,,,,,STR,1,,,,,,STR,23,23,,,,,,3,Gauntlets of Hill Giant Strength are very rare Gloves that can be obtained from the House of Hope. These gloves set the wearer's Strength ability score to 23.,,,,,,,,,,
Gemini Gloves,,,Handwear,Very Rare,Non-Armour,0.5,460,,,,FALSE,,,,,,,,,,,,Adroit Caster,,,,,,,,,3,The Gemini Gloves are a very rare pair of Gloves. They grant the wearer the ability to cast Cantrips which can target foes or allies twice.,,,,,,,,,,
Gloves of Dexterity,,,Handwear,Very Rare,Non-Armour,0.5,300,,,,FALSE,,,,,,,,,,,,,DEX,18,18,,1,,,,2,The Gloves of Dexterity are a very rare pair of gloves that give a character 18 Dexterity and increase their  Attack rolls by 1.,,,,,,,,,,
Helldusk Gloves,,,Handwear,Very Rare,Non-Armour,0.5,540,,,,FALSE,,,,,,STR,1,,Rays of Fire,,Short Rest,"Infernal Acuity, Infernal Touch",,,,,,,,,3,"Helldusk Gloves are a very rare pair of Gloves. They grant bonuses to spellcasting, weapon attacks, and unarmed attacks.",,,,,,,,,,
Hr'a'cknir Bracers,,,Handwear,Very Rare,Non-Armour,0.5,540,,,,FALSE,,,,,,STR,1,,Telekinesis,5,Short Rest,Quickened Mage Hand,,,,,,,,,2,Hr'a'cknir Bracers is a very rare set of Gloves that allows the wearer to cast Mage Hand as a Bonus Action and cast Telekinesis once per Short Rest.,,,,,,,,,,
Quickspell Gloves,,,Handwear,Very Rare,Non-Armour,0.5,300,,,,FALSE,,,,,,,,,,,,Quickspell Flinger,,,,,,,,,3,"Quickspell Gloves are a pair of Very Rare Gloves that grant the wearer the ability to cast a Cantrip as a Bonus Action instead of an Action, once per Short Rest.",,,,,,,,,,
Spellmight Gloves,,,Handwear,Very Rare,Non-Armour,0.5,300,,,,FALSE,,,,,,,,,,,,Spellmight,,,,,,,,,3,Spellmight Gloves are a pair of very rare Gloves which allow the wearer to deal additional damage at the cost of accuracy.,,,,,,,,,,
Gloves of Soul Catching,,,Handwear,Story Item,Non-Armour,0.5,960,,,,FALSE,,,,,,,,,,,,"Soul Fist, Soul Catching",CON,2,20,,,,,,3,"The Gloves of Soul Catching are a legendary pair of Gloves. They grant additional Force damage to unarmed attacks, +2 Constitution, and heal the wearer after an unarmed attack.",,,,,,,,,,
Metallic Gloves,,,Handwear,Common,Medium,0.5,40,,,,FALSE,,,,,,STR,1,,,,,,,,,,,,,,1,Metallic Gloves are a common pair of Gloves.,,,,,,,,,,
Blackguard's Gauntlets,,,Handwear,Rare,Medium,0.5,800,,,,FALSE,,,,,,STR,1,,Inflict Wounds,4,Long Rest,,,,,,1,,,,3,"Blackguard's Gauntlets are a rare pair of Gauntlets that grant their wearer +1 Attack, +1 Strength Saving Throws, and allows them to cast Inflict Wounds as a 4th level spell once per Long Rest.",,,,,,,,,,
Gauntlets of Surging Accuracy,,,Handwear,Rare,Medium,0.5,300,,,,FALSE,,,,,,,,,,,,Surge Accuracy,,,,,,,,,2,Gauntlets of Surging Accuracy are a rare pair of gloves that give the wearer a +1d4 bonus to Attack Rolls for the rest of their turn when using Action Surge.,,,,,,,,,,
Unwanted Masterwork Gauntlets,,,Handwear,Rare,Medium,0.5,300,,,,FALSE,,,,,,STR,1,,,,,,,,,,1,,,,3,Unwanted Masterwork Gauntlets are a rare pair of Gloves that provides a bonus to Attack Rolls and Strength Saving Throws. It is part of the Unwanted set.,,,,,,,,,,
Gauntlets of the Warmaster,,,Handwear,Very Rare,Medium,0.5,1600,,,,FALSE,,,,,,,,,,,,Heightened Manoeuvre,,,,,1,,,,3,Gauntlets of the Warmaster are a very rare pair of Gauntlets. They grant their wielder +1 on Attack Rolls and subject the targets of their Manoeuvres to Disadvantage.,,,,,,,,,,
Legacy of the Masters,,,Handwear,Very Rare,Medium,0.5,570,,,,FALSE,,,,,,STR,1,,,,,Arming Enhancement,,,,,,,,,3,The Legacy of the Masters are a very rare pair of Gloves that grants the wearer +2 to Attack Rolls and Damage Rolls.,,,,,,,,,,
The Reviving Hands,,,Handwear,Very Rare,Medium,0.5,570,,,,FALSE,,,,,,STR,1,,Revivify,3,Long Rest,Aegis Palms,,,,,,,,,3,The Reviving Hands are a very rare pair of Gloves that grants the wearer the to ability to cast Revivify and applies Blade Ward and Death Ward to creatures healed or revived by the wearer respectively.,,,,,,,,,,
Appreciably-Cared-For Boots,,,Footwear,Common,Non-Armour,0.6kg,15,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Appreciably-Cared-For Boots are a common pair of Boots.,,,,,,,,,,
Cleverly Cobbled Boots,,,Footwear,Common,Non-Armour,0.6kg,5,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Cleverly Cobbled Boots are a common pair of Shoes.,,,,,,,,,,
Drow Leather Boots,,,Footwear,Common,Non-Armour,0.6kg,15,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Drow Leather Boots are a common pair of Boots.,,,,,,,,,,
Firm-Soled Boots,,,Footwear,Common,Non-Armour,0.6kg,15,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Firm-Soled Boots are a common pair of Boots.,,,,,,,,,,
Grovetender Boots,,,Footwear,Common,Non-Armour,0.6kg,15,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Grovetender Boots are a common pair of Boots.,,,,,,,,,,
Hardily Constructed Boots,,,Footwear,Common,Non-Armour,0.6kg,5,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Hardily Constructed Boots are a common pair of boots.,,,,,,,,,,
Heavy Boots,,,Footwear,Common,Non-Armour,0.6kg,15,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Heavy Boots are a common pair of Boots.,,,,,,,,,,
Humbly Cobbled Shoes,,,Footwear,Common,Non-Armour,0.6kg,5,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Humbly Cobbled Shoes are a common pair of Shoes.,,,,,,,,,,
Jaheira’s Boots,,,Footwear,Common,Non-Armour,0.6kg,15,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Jaheira’s Boots are a common pair of Boots worn by Jaheira.,,,,,,,,,,
Karlach's Boots,,,Footwear,Common,Non-Armour,0.6kg,5,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Karlach's Boots is the default Boots for Karlach.,,,,,,,,,,
Leather Boots,,,Footwear,Common,Non-Armour,0.6kg,15,,,,FALSE,,,,,,,,,,,,,,,,,,,,,1,Leather Boots are a common pair of Boots.,,,,,,,,,,
Leather Boots (Barbarian),,,Footwear,Common,Non-Armour,0.6kg,5,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Leather Boots are a common pair of Boots.,,,,,,,,,,
Lonely Left Boot of Elvenkind,,,Footwear,Common,Non-Armour,0.6kg,5,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Lonely Left Boot of Elvenkind are a common pair of Boots.,,,,,,,,,,
Monastic Boots,,,Footwear,Common,Non-Armour,0.6kg,5,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Monastic Boots are a common pair of Boots.,,,,,,,,,,
Plain Boots,,,Footwear,Common,Non-Armour,0.6kg,15,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Plain Boots are a common footwear.,,,,,,,,,,
Quite Fashionable Boots,,,Footwear,Common,Non-Armour,0.6kg,5,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Quite Fashionable Boots are a common pair of Shoes.,,,,,,,,,,
Simple Boots,,,Footwear,Common,Non-Armour,0.6kg,5,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Simple Boots are a common pair of Boots.,,,,,,,,,,
Smarmy Swaggerer Boots,,,Footwear,Common,Non-Armour,0.6kg,15,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Smarmy Swaggerer Boots is a common pair of Boots.,,,,,,,,,,
Soft and Comfortable Shoes,,,Footwear,Common,Non-Armour,0.6kg,5,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Soft and Comfortable Shoes are a common pair of Shoes.,,,,,,,,,,
Stiffly-Shod Boots,,,Footwear,Common,Non-Armour,0.6kg,15,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Stiffly-Shod Boots are a common pair of Boots.,,,,,,,,,,
Thin-Soled Shoes,,,Footwear,Common,Non-Armour,0.6kg,5,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,Thin-Soled Shoes are a common pair of Shoes.,,,,,,,,,,
