Creature,,,Type,Race,Class,Subclass,Identity,Size,Movement,Darkvision,Weight,XP,Actions/Spells,Weapons,Grenades,Boss,Imunities,,Vulnerabilities,Family,Faction,Title
Sarevok Anchev,,,Humanoid,Human,,,,Medium,,,,,"Deathbringer Assault,Deathbringer's Legacy,Indomitable,Power Word Kill",,,TRUE,Lethargic,,,,,
Crawling Claw,,,Undead,Crawling Claw,,,,Tiny,6.0m,,1.0kg,,Claws (Crawling Claw),,,FALSE,,,,,,
Cursed Kuo-Toa (Melee),,,Humanoid,Kuo-toa,,,,Medium,,,,,"Main Hand Attack,Net",Rusty Spear,,FALSE,,,,,,
Ketheric Thorm,,,Undead,Undead Half-Elf,Paladin,Oathbreaker,,Medium,9.0m,11.0m,75.0kg,11,"Blinding Smite,Backbreaker,Concussive Smash,Deadly Orders,Divine Smite,Howl of the Dead,Incubate Death,Main Hand Attack,Weakening Strike",Ketheric's Warhammer,,TRUE,"Poisoned,Polymorphed,Knocked Out",,,,,
Lyrthindor,,,Humanoid,Elf,,,Male,Medium,9.0m,12.0m,30.0kg,180,"Backbreaker,Beckoning Darkness,Blight,Flourish,Inflict Wounds,Main Hand Attack,Shadow Step,Sleep",Justiciar's Scimitar,,FALSE,,,,Unnamed wife (deceased)Unnamed daughter (deceased),Church of Shar,
Shadowheart,,,Humanoid,Half-elf,Cleric,Trickery Domain,Female,Medium,9.0m,,75.0kg,1,,,,FALSE,,,,Arnell Hallowleaf (father)Emmeline Hallowleaf (mother),,Daughter of Darkness
Charismatic Sentinel,,,Undead,Dark Justiciar,Paladin,Oath of Vengeance,,Medium,9.0m,12.0m,30.0kg,60,"Main Hand Attack,Divine Smite,Shadow Step,Bane,Hunter's Mark,Inquisitor's Might",Greatsword,,FALSE,,,,,,
Intelligent Sentinel,,,Undead,Dark Justiciar,Wizard,Necromancy School,,Medium,9.0m,12.0m,30.0kg,60,"Main Hand Attack,Bone Chill,Melf's Acid Arrow,Phantasmal Force,Shadow Step",Quarterstaff,,FALSE,,,,,,
Justiciar Avenger,,,Undead,Dark Justiciar,,,,Medium,9.0m,7.0m,30.0kg,60,Main Hand Attack,,,FALSE,,,,,,
Justiciar Crusader,,,Undead,Undead,,,,Large,9.0m,7.0m,80.0kg,280,"Main Hand Attack,Overwhelming Grief,Subsume Shadow",Greatsword,,FALSE,,,,,,
Justiciar Soulhunter,,,Undead,Dark Justiciar,,,,Medium,9.0m,7.0m,30.0kg,60,"Ranged Attack,Shadow Step",,,FALSE,,,,,,
Justiciar Nightweaver,,,Undead,Dark Justiciar,,,,Medium,9.0m,7.0m,30.0kg,60,"Beckoning Darkness,Shadow Step,Sleep,Untenable Secret",,,FALSE,,,,,,
Wise Sentinel,,,Undead,Dark Justiciar,Cleric,Trickery Domain,,Medium,9.0m,12.0m,30.0kg,60,"Main Hand Attack,Inflict Wounds,Sacred Flame,Spirit Guardians (Necrotic),Shadow Step,Cloak of Shadows",Mace,,FALSE,,,,,,
That Which Guards,,,Undead,Death Knight,,,,Medium,9.0m,12.0m,80.0kg,640,"Compelled Duel,Hellfire Orb,Searing Smite,Staggering Smite",,,FALSE,,,,,,Death Knight
That Which Lurks,,,Undead,Death Knight,,,,Medium,9.0m,12.0m,80.0kg,320,"Wrathful Smite,Staggering Smite",,,FALSE,,,,,,Death Knight
That Which Watches,,,Undead,Death Knight,,,,Medium,9.0m,12.0m,80.0kg,320,"Wrathful Smite,Staggering Smite",,,FALSE,,,,,,Death Knight
Stalker Svignee,,,Undead,Death Knight,,,,Medium,9.0m,12.0m,80.0kg,640,"Staggering Smite,Hellfire Orb,Searing Smite,Compelled Duel",,,FALSE,,,,,,
Death Shepherd,,,Undead,Skeleton,,,,Large,9.0m,6.0m,80.0kg,50,"Cleave,Lacerate,Main Hand Attack,No Rest for the Wicked,Pommel Strike,Reach from Beyond",Greatsword,,FALSE,,,,,,
Devotee of Mahkloompah,,,Humanoid,Sahuagin,,,,Medium,9.0m,6.0m,90.0kg,6,"Blood Frenzy,Claws (action),Net",,,FALSE,,,,,,
Displacer Beast,,,Beast,,,,,Medium,12.0m,5.0m,140.0kg,5,"Displace (Displacer Beast),Illusory Copy,Tentacle Whip (Displacer Beast)",,,FALSE,,,,,,
Displacer Beast (Illusion),,,Beast,,,,,Medium,0.0m,1.0m,50.0kg,1,Tentacle Whip (Displacer Beast),,,FALSE,,,,,,
Djinni,,,Elemental,Elemental,,,,Medium,9.0m,10.0m,100.0kg,10,"Main Hand Attack,Drunken Inhale,Misty Step,Sweetplum Gales,Thunderwave",Djinni Scimitar,,FALSE,,,,,,
Doppelganger,,,Monstrosity,,,,,Medium,9.0m,8.0m,75.0kg,8,"Doppelganger (class action),Morphic Ambush,Multiattack (Doppelganger)",,,FALSE,,,,,,
Ansur,,,Undead,Undead Dragon,,,,Large,12.0m,17.0m,"4,000.0kg",400,"Bout of Storms,Fly (Dragons),Frightful Presence,Gather Power,Lightning Breath (Ansur),Multiattack (Ansur),Slam (Ansur),Stormheart Nova",,,TRUE,"Bleeding,Charmed,Dominated,Chest Trauma,Dazed,Electrocuted,Command: Flee,Fearful,Frightened,Phantasmal Killer,Gaping Wounds,Paralysed,Command: Halt,Poisoned,Nauseous,Polymorphed,Prone,Hideous Laughter,Shocked,Shocking Grasp,Steeped in Bliss,Wet",,,,,
Kar'niss,,,Monstrosity,Drider,,,Male,Medium,9.0m,12.0m,150.0kg,150,"Lacerate,Main Hand Attack,Multiattack (Drider),Pommel Strike,Rush Attack,Sanctuary,Venom Claws",Cruel Sting,,TRUE,,,,,Cult of the Absolute,Light of the Absolute
Dryad,,,Fey,Fey,,,,Medium,9.0m,6.0m,55.0kg,6,"Entangle (Dryad),Fallen Lover,Spike Growth,Strengthened Shillelagh",,,FALSE,,,,,,
Duergar Spore Servant (Guard caster),,,Plant,Duergar (formerly),,,,Medium,7.5m,3.0m,75.0kg,3,"Lacerate, Main Hand Attack",Handaxe,,FALSE,,,,,,
Duergar Spore Servant (Guard melee),,,Plant,Duergar (formerly),,,,Medium,8.0m,3.0m,80.0kg,3,Concussive Smash,,,FALSE,,,,,,
Duergar Spore Servant (Patrol melee),,,Plant,Duergar (formerly),,,,Medium,7.5m,3.0m,80.0kg,3,"Lacerate, Main Hand Attack",Handaxe,,FALSE,,,,,,
Duergar Spore Servant (Ranged),,,Plant,Duergar (formerly),,,,Medium,7.5m,3.0m,80.0kg,3,"Piercing Shot, Ranged Attack",Light Crossbow,,FALSE,,,,,,
Earth Elemental,,,Elemental,Elemental,,,,Large,9.0m,9.0m,250.0kg,9,"Soil-Clogged Slam,Seismic Strike,Multiattack (Earth Elemental),Elemental Warp",,,FALSE,,,,,,
Grease Mephit,,,Elemental,Mephit,,,,Tiny,9.0m,4.0m,4.0kg,4,"Hurl Grease,Greasy Discharge,Fly (class action),Summon Mephit (Fire),Summon Mephit (Grease)",,,FALSE,,,,,,
Ice Mephit,,,Elemental,Mephit,,,,Tiny,9.0m,3.0m,4.0kg,3,"Freezing Claws,Ice Breath,Chromatic Orb: Cold,Death Burst (Cold),Fly (class action)",,,FALSE,,,,,,
Magma Mephit,,,Elemental,Mephit,,,,Tiny,9.0m,3.0m,4.0kg,75,"Burning Claws,Death Burst (Fire),Fire Breath (Magma Mephit),Fly (class action),Heat Metal",,,FALSE,,,,,,
Mud Mephit,,,Elemental,Mephit,,,,Tiny,9.0m,3.0m,4.0kg,3,"Death Burst (Mud),Fly (class action),Mud Breath,Muddy Claws,Mud Fling",,,FALSE,,,,,,
Air Myrmidon,,,Elemental,Elemental,,,,Small,9.0m,11.0m,20.0kg,11,"Main Hand Attack,Electrified Flail,Raging Vortex,Invisibility (Air Myrmidon),Elemental Warp,Fly (class action)",Flail of the Vortex,,FALSE,"Weapon Dropped!, Prone",,,,,
Earth Myrmidon,,,Elemental,Elemental,,,,Medium,9.0m,11.0m,150.0kg,11,"Grounded Thunder Strike,Sludgy Sling,Burrow (Earth Myrmidon),Muck to Metal,Elemental Warp",,,FALSE,"Weapon Dropped!, Prone",,,,,
Fire Elemental,,,Elemental,Elemental,,,,Tiny,9.0m,9.0m,0.0kg,9,"Smouldering Touch,Erupting Cinder,Multiattack (Fire Elemental),Elemental Warp",,,FALSE,,,,,,
Fire Myrmidon,,,Elemental,Elemental,,,,Small,9.0m,11.0m,40.0kg,11,"Main Hand Attack,Scorching Strike,Myrmidon's Immolation,Cinderous Swipe,Elemental Warp,Fly (class action)",Scimitar of Cinder,,FALSE,"Weapon Dropped!, Prone",,,,,
Hell Sphere,,,Elemental,Elemental,,,,Medium,9.0m,12.0m,199.0kg,12,Ram (Hell Sphere),,,FALSE,,,,,,
Water Elemental,,,Elemental,Elemental,,,,Medium,9.0m,9.0m,118.0kg,9,"Slam (Water Elemental),Winter's Breath,Multiattack (Water Elemental),Elemental Warp",,,FALSE,"Frightened, Prone, Stunned, Command: Halt, Command: Flee, Command: Grovel, Command: Approach",,,,,
Water Myrmidon,,,Elemental,Elemental,,,,Medium,9.0m,11.0m,175.0kg,11,"Main Hand Attack,Hiemal Strike,Explosive Icicle,Healing Vapours,Elemental Warp,Fly (class action)",Trident of the Depths,,FALSE,"Weapon Dropped!, Prone",,,,,
Ettercap,,,Monstrosity,,,,,Medium,9.0m,3.0m,85.0kg,3,"Claws (action),Multiattack (Ettercap),Web",,,FALSE,,,,,,
Fetid Ooze,,,Ooze,Ooze,,,,Medium,9.0m,6.0m,180.0kg,6,"Pseudopod,Ochre Sputum (acid)",,,FALSE,,,,,,
Auntie Ethel,,,Fey,Hag,,,,Medium,9.0m,5.0m,125.0kg,150,"A Coven of Hags,Auntie's Trickery,Break Illusion,Claws (Hag),Damsel in Distress,Hold Person,Ray of Sickness,Throw,Throw,Vicious Mockery (Auntie Ethel),Auntie's Trickery,Ethel's Insect Plague,Ray of Sickness",,"Poisonous Slime Bomb,Flammable Slime Bomb",TRUE,,,,,,Sister of the Seeing Pearl
Auntie Ethel (Act 3),,,Fey,Hag,,,,Medium,9.0m,5.0m,125.0kg,11,"A Coven of Hags,Auntie's Trickery,Break Illusion,Claws (Hag),Damsel in Distress,Hold Person,Ray of Sickness,Throw,Throw,Vicious Mockery (Auntie Ethel),Auntie's Trickery,Ethel's Insect Plague,Ray of Sickness",,"Poisonous Slime Bomb,Flammable Slime Bomb",TRUE,,,,,,
BOOOAL,,,Fey,Redcap,,,,Small,9.0m,18.0m,35.0kg,75,"Ironbound Pursuit,Open Wounds",,,FALSE,,,,,,
Redcap Blood Sage,,,Humanoid,Redcap,,,,Small,9.0m,4.0m,35.0kg,40,"Bloodlust (Redcap),Hold Person,Open Wounds",,,FALSE,,,,,,
Redcap Boatswain,,,Fey,Redcap,,,,Small,9.0m,4.0m,35.0kg,4,"Ironbound Pursuit,Multiattack (Redcap)",,,FALSE,,,,,,
Redcap Mystic Cannoneer,,,Fey,Redcap,,,,Small,9.0m,4.0m,35.0kg,4,"Bloodlust (Redcap),Open Wounds,Throw",,Scrap and Shrapnel Grenade,FALSE,,,,,,
Arbiter Cirrus,,,Fiend,Cambion,,,Female,Medium,9.0m,12.0m,82.0kg,12,,,,FALSE,,,,,Zariel's Avernus,
Arbiter Feena,,,Fiend,Cambion,,,Female,Medium,9.0m,12.0m,82.0kg,12,,,,FALSE,,,,,Zariel's Avernus,
Mizora,,,Fiend,Cambion,Sorcerer,,Female,Medium,9.0m,18.0m,75.0kg,12,"Command,Chromatic Orb,Crown of Madness,Dimension Door,Disintegrate,Eyebite,Freedom of Movement,Haste,Hold Monster",,,FALSE,,,,,,
Raphael,,,Fiend,Cambion / ⁠Devil,,,,Medium,12.0m,30.0m,80.0kg,1400,"Consume Souls,Diabolic Chains,Flames of Avernus,Igniting Spark,Incinerate,Infernal Salve,Invocation of Eternal Debt",,,TRUE,"Banished,Burning,Melting,Poisoned,Nauseous,Polymorphed,Roiling Hellfire",,,,,
Raphael (Ascended),,,Fiend,Cambion / ⁠Devil,,,,Medium,12.0m,30.0m,80.0kg,1400,"Consume Souls,Diabolic Chains,Flames of Avernus,Igniting Spark,Incinerate,Infernal Salve,Invocation of Eternal Debt,Claws (Raphael),Fiendish Ascension,Multiattack (Raphael),Ravaging Inferno,Punish Divinity,Soul Drain",,,TRUE,"Banished,Burning,Melting,Poisoned,Nauseous,Polymorphed,Roiling Hellfire",,,,,
Pillar of Souls,,,,,,,,,,,,,,,,FALSE,,,,,,
Vengeful Cambion,,,Fiend,Cambion,,,,Medium,9.0m,9.0m,50.0kg,9,"Rays of Fire,Disarming Strike,Fly (class action)",,,FALSE,,,,,,
Commander Zhalk,,,Fiend,Cambion,,,Male,Medium,9.0m,12.0m,80.0kg,75,"Fly (class action),Main Hand Attack",Everburn Blade,,TRUE,,,,,,
Shovel,,,Fiend,Quasit,,,Female,Small,9.0m,1.0m,10.0kg,1,"Claws (Quasit),Invisibility (Quasit),Scare",,,FALSE,,,,,,
Flind,,,Humanoid,Gnoll,,,Female,Medium,9.0m,12.0m,100.0kg,75,"Bloodfest,Flail of Madness,Flail of Pain,Flail of Paralysis,Main Hand Attack,Ranged Attack,Seething Fury,Multiattack (Flind),Multiattack (Ranged)","Chaos Flail,Goblin Bow",,TRUE,,,,,,Gnoll Warlord
Gilded Hellsboar,,,Fiend,Hellsboar,,,,Medium,12.0m,3.0m,120.0kg,10,"Rush (Hellsboar),Tusk Attack (Gilded Hellsboar)",,,FALSE,,,,,,
Lesser Hellsboar,,,Fiend,Hellsboar,,,,Medium,1.0m,1.0m,120.0kg,3,Tusk Attack (Lesser Hellsboar),,,FALSE,,,,,,
Vengeful Boar,,,Fiend,Vengeful Boar,,,,Medium,12.0m,5.0m,120.0kg,5,"Rush (Hellsboar),Tusk Attack (Boar)",,,FALSE,,,,,,
Cursed Imp,,,Fiend,Imp,,,,Small,9.0m,24.0m,15.0kg,400,"Caustic Claws,Fly (class action),Ray of Sickness,Sting (Cursed Imp)",,,FALSE,,,,,,
Cruor,,,Fiend,Imp,,,,Small,9.0m,24.0m,15.0kg,1,,,,FALSE,,,,,,Orin's Butler
Gilded Imp,,,Fiend,Imp,,,,Small,9.0m,9.0m,50.0kg,9,Petrifying Sting,,,FALSE,,,,,,
Gilded Minotaur,,,Monstrosity,Monstrosity,,,,Large,12.0m,18.0m,300.0kg,9,"Main Hand Attack, Brutal Leap, Charge (Minotaur), Gore (Minotaur), Reckless Roar",Greatclub (Minotaur),,FALSE,,,,,,
Lesser Imp,,,Fiend,Imp,,,,Small,1.0m,1.0m,15.0kg,10,"Fiery Bolt,Main Hand Attack,Main Hand Attack,Ranged Attack","Light Crossbow,Scimitar,Handaxe",,FALSE,,,,,,
Vengeful Imp,,,Fiend,Imp,,,,Small,9.0m,5.0m,13.6kg,5,"Eldritch Blast,Claws (Imp)",,,FALSE,,,,,,
Hoarding Merregon,,,Fiend,Merregon,,,,Medium,9.0m,24.0m,75.0kg,110,"Cleave,Lacerate,Main Hand Attack,Rush Attack",Merregon Halberd,,FALSE,,,,,,
Merregon Legionnaire,,,Fiend,Merregon,,,,Medium,9.0m,24.0m,75.0kg,75,"Cleave,Lacerate,Main Hand Attack,Rush Attack",Merregon Halberd,,FALSE,,,,,,
Vengeful Merregon,,,Fiend,Merregon,,,,Medium,9.0m,5.0m,75.0kg,5,"Cleave,Crossbow Shot,Main Hand Attack,Lacerate,Rush Attack",Merregon Halberd,,FALSE,,,,,,
Haarlep,,,Fiend,Incubus,,,,Medium,9.0m,12.0m,50.0kg,400,"Claws (action),Draining Kiss (Haarlep),Incubus Charm",,,FALSE,,,,,,
Yurgir,,,Fiend,Fiend,,,,Large,10.0m,10.0m,220.0kg,250,"Concussive Burst,Explosive Retribution,Infernal Dagger,Invisibility (class action),Volatile Cluster",,,TRUE,"Burning,Charmed,Dominated,Poisoned,Nauseous,Roiling Hellfire",,,,,
Fire Hallucination,,,Fiend,Fiend,,,,Small,9.0m,6.0m,15.0kg,0,Claws (Imp),,,FALSE,,,,,,
Flaming Sphere,,,Elemental,Elemental,,,,Medium,9.0m,1.0m,199.0kg,1,Ram,,,FALSE,,,,,,
Flying Ghoul,,,Undead,,,,,Medium,12.0m,6.0m,60.0kg,6,"Claws (Flying Ghoul),Devour (Animate Dead Ghoul),Fly (class action)",,,FALSE,,,,,,
Fungal Zombie,,,Undead,Zombie,,,,Medium,9.0m,3.0m,50.0kg,3,Slam (Animate Dead Zombie),,,FALSE,,,,,,
Gaseous Form,,,,,,,,Tiny,9.0m,1.0m,0.0kg,1,"Fly (class action),Dismiss Gaseous Form",,,FALSE,,,,,,
Ghast,,,Undead,,,,,Medium,9.0m,6.0m,70.0kg,90,"Claws (Ghast),Stench",,,FALSE,,,,,,
Echo of a Lost Love,,,Undead,Ghost,,,Female,Medium,9.0m,18.0m,1.0kg,320,"Fly (class action),Perturbing Visage,Possession,Withering Touch,Disconcerting Visage,Terrifying Visage,Disconcerting Visage (Tactician),Terrifying Visage (Tactician)",,,FALSE,,,,,,
Echo of Abazigal,,,Undead,Ghost,,,,Medium,9.0m,12.0m,1.0kg,320,,,,FALSE,,,,,Cult of Bhaal,
Echo of Amelyssan,,,Undead,"Ghost, Human (former)",,,,Medium,9.0m,,1.0kg,320,"Warding Bond,Sanctuary,Heal,Fly (class action),Cloudkill,Vampiric Touch",,,FALSE,,,,,Cult of Bhaal,
Echo of Illasera,,,Undead,"Ghost, Elf (former)",,,Female,Medium,9.0m,12.0m,1.0kg,320,"Haste,Counterspell,Fly (class action),Guiding Bolt,Spirit Guardians",,,FALSE,,,,,Cult of Bhaal,
Echo of Sendai,,,Undead,"Ghost, Drow (former)",,,,Medium,9.0m,16.0m,1.0kg,320,"Slow,Command,Fly (class action),Blight,Harm,Inflict Wounds",,,FALSE,,,,,Cult of Bhaal,
Farslayer of Bhaal Ghislev,,,Undead,Ghost,,,Male,Medium,9.0m,30.0m,75.0kg,400,"Benign Transposition: Teleport,Bhaal's Power Word Kill Ritual,Cloud of Daggers,Ice Knife,Main Hand Attack,Ray of Frost,Slow,Topple",Spear,,FALSE,,,,,Cult of Bhaal,Death's Gatekeeper
Gordis,,,Undead,Ghost,,,,Small,9.0m,12.0m,0.0kg,1,"Bite (Ghost Dogs),Fly (class action),Terrifying Howl,Have Nice Gift!,Loyal Furry Friend",,,FALSE,,,,,,
Houndmaster Pol,,,Undead,Ghost,,,,Medium,9.0m,18.0m,1.0kg,250,"Grave Shot,Houndmaster's Mark",,,FALSE,,,,,,
Rocky,,,Undead,Ghost,,,,Small,8.0m,12.0m,0.0kg,1,"Bite (Ghost Dogs),Fly (class action),Terrifying Howl,Have Nice Gift!,Loyal Furry Friend",,,FALSE,,,,,,
Zina,,,Undead,Ghost,,,,Small,8.0m,12.0m,0.0kg,1,"Bite (Ghost Dogs),Fly (class action),Terrifying Howl,Have Nice Gift!,Loyal Furry Friend",,,FALSE,,,,,,
Tribunal Ghost,,,Undead,Ghost,,,,Medium,9.0m,3.0m,3.0kg,320,"Fly (class action),Main Hand Attack,Piercing Strike,Throw",Dagger,,FALSE,,,,,,
Tormented Soul,,,Undead,Ghost,,,,Medium,8.0m,8.0m,1.0kg,8,"Fly (class action),Multiattack (Tormented Soul),Withering Touch,Unnerving Screech,Animus Screech",,,FALSE,,,,,,
Vengeful Soul,,,Undead,Ghost,,,,Medium,8.0m,8.0m,1.0kg,8,"Dreadful Glare,Withering Touch,Multiattack (Vengeful Soul)",,,FALSE,,,,,,
Poltergeist,,,Undead,Undead,,,,Medium,,,1.0kg,,"Fly (class action),Forceful Throw,Telekinetic Thrust,Withering Touch",,,FALSE,,,,,,
Ghoul,,,Undead,,,,,Medium,9.0m,3.0m,50.0kg,75,"Claws (Ghoul),Devour (Ghoul)",,,FALSE,,,,,,
Buthir,,,Giant,Ogre,,,Female,Large,12.0m,12.0m,500.0kg,75,"Buthir's Wrath,Main Hand Attack,Slam (Ogre),Throw Stone (Ogre)",Heavy Spiked Club,,FALSE,,,,Grukkoh (partner),Cult of the Absolute,
Chock,,,Giant,Ogre,,,Male,Large,12.0m,12.0m,500.0kg,75,"Concussive Smash,Main Hand Attack,Slam (Ogre),Tenacity,Throw Stone (Ogre)",Gnarled Tree Branch,,FALSE,,,,,Cult of the Absolute,
Fank,,,Giant,Ogre,,,Male,Large,12.0m,12.0m,500.0kg,75,"Concussive Smash,Main Hand Attack,Slam (Ogre),Tenacity,Throw Stone (Ogre)",Gnarled Tree Branch,,FALSE,,,,,Cult of the Absolute,
Glourik,,,Giant,Ogre,,,Female,Large,12.0m,12.0m,500.0kg,180,"Concussive Smash,Main Hand Attack,Slam (Ogre),Tenacity,Throw Stone (Ogre)",Heavy Spiked Club,,FALSE,,,,,Cult of the Absolute,
Lump the Enlightened,,,Giant,Ogre,,,Male,Large,12.0m,12.0m,500.0kg,75,"Blur,Fire Bolt,Main Hand Attack,Melf's Acid Arrow",Heavy Spiked Club,,FALSE,,,,,,
Mig,,,Giant,Ogre,,,Female,Large,9.0m,12.0m,500.0kg,180,"Main Hand Attack,Slam (Ogre),Throw Stone (Ogre)",Heavy Spiked Club,,FALSE,,,,,Cult of the Absolute,
Polma,,,Giant,Ogre,,,Female,Large,9.0m,12.0m,500.0kg,75,"Main Hand Attack,Slam (Ogre),Throw Stone (Ogre)",Gnarled Tree Branch,,FALSE,,,,,Cult of the Absolute,Bodyguard of the High Priestess
Giant Eagle,,,Beast,,,,,Large,15.0m,4.0m,60.0kg,40,"Fly (class action),Gale (class action),Multiattack (Giant Eagle),Talons",,,FALSE,,,,,,
Giant Spider,,,Beast,Spider,,,,Medium,9.0m,1.0m,120.0kg,1,"Venomous Bite (Spider Wild Shape),Web (Spider Wild Shape),Arachnid Jump",,,FALSE,,,,,,
Barnabus',,,Humanoid,Gnoll,,,Male,Medium,9.0m,12.0m,100.0kg,110,"Bite (Gnoll),Brace (Ranged),Hamstring Shot,Ranged Attack,Seething Fury",Longbow,,FALSE,,,,,,
Timothy',,,Humanoid,Gnoll,,,Male,Medium,9.0m,12.0m,100.0kg,110,"Bite (Gnoll),Hamstring Shot,Ranged Attack,Seething Fury",Shortbow,,FALSE,,,,,,
Tomelia',,,Humanoid,Gnoll,,,,Medium,9.0m,12.0m,100.0kg,110,"Bite (Gnoll),Hamstring Shot,Ranged Attack,Seething Fury",Shortbow,,FALSE,,,,,,
Gnoll Fang of Yeenoghu,,,Humanoid,Gnoll,,,,Medium,9.0m,4.0m,100.0kg,40,"Demonic Bite,Main Hand Attack,Soul Offering",Spear,,FALSE,,,,,,
Gnoll Flesh Gnawer,,,Humanoid,Gnoll,,,,Medium,9.0m,4.0m,100.0kg,40,"Bloodfest,Claws (action)",,,FALSE,,,,,,
Gnoll Hunter,,,Humanoid,Gnoll,,,,Medium,9.0m,4.0m,100.0kg,40,"Brace (Ranged),Hamstring Shot,Multiattack (Ranged),Ranged Attack,Seething Fury",Longbow,,FALSE,,,,,,
Newborn Gnoll,,,Humanoid,Gnoll,,,,Medium,12.0m,4.0m,100.0kg,40,"Bite (Gnoll),Sudden Rush",,,FALSE,,,,,,
Crusher,,,Humanoid,Goblin,,,Male,Small,12.0m,12.0m,35.0kg,50,"Flourish,Lacerate,Main Hand Attack,Reckless Warcry",Goblin Scimitar,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
Fezzerk,,,Humanoid,Goblin,Fighter,,Male,Small,9.0m,12.0m,35.0kg,50,"Lacerate,Gargantuan Cleave,Main Hand Attack,Menacing Attack (Melee),Prepare,Throw Stone",Very Heavy Greataxe,,FALSE,,,,,Cult of the Absolute,Goblin Boss
Grat the Trader,,,Humanoid,Goblin,,,Male,Small,9.0m,12.0m,35.0kg,10,,,,FALSE,,,,,Cult of the Absolute,Novice of the Absolute
True Soul Gut,,,Humanoid,Goblin,,,Female,Small,9.0m,12.0m,35.0kg,40,"Aid,Call for Help,Shield,Shocking Grasp,Shield of Faith,The Absolute's Will",,,TRUE,,,,,Cult of the Absolute,High Priestess of the Absolute
Sazza,,,Humanoid,Goblin,,,Female,Small,9.0m,12.0m,35.0kg,20,,,,FALSE,,,,,Cult of the Absolute,
Goblin Brawler,,,Humanoid,Goblin,,,,Small,9.0m,1.0m,35.0kg,1,"Flourish,Lacerate,Main Hand Attack,Throw Stone",Goblin Scimitar,,FALSE,,,,,,
Goblin Booyahg,,,Humanoid,Goblin,Wizard,,,Small,9.0m,2.0m,35.0kg,2,"Acid Splash,Grease,Main Hand Attack,Ray of Sickness,Topple",Ritual Staff,,FALSE,,,,,,
Goblin Boss,,,Humanoid,Goblin,,,,Small,9.0m,3.0m,35.0kg,3,"Main Hand Attack,Reckless Warcry,Throw Stone",Goblin Scimitar,,FALSE,,,,,,
Goblin Devout,,,Humanoid,Goblin,Cleric,,,Small,9.0m,2.0m,35.0kg,2,"Bless,Concussive Smash,Cure Wounds,Main Hand Attack,Sacred Flame",Crude Mace,,FALSE,,,,,,
Goblin Sapper,,,Humanoid,Goblin,,,,Small,9.0m,2.0m,35.0kg,15,"Dash,Detonate",,,FALSE,,,,,Cult of the Absolute,
Goblin Sharp-Eye,,,Humanoid,Goblin,Ranger,,,Small,9.0m,2.0m,35.0kg,2,"Ensnaring Strike (Ranged),Nimble Escape,Ranged Attack,Worg Companion",Goblin Bow,,FALSE,,,,,,
Goblin Tracker,,,Humanoid,Goblin,,,,Small,9.0m,1.0m,35.0kg,1,"Hamstring Shot,Nimble Escape,Ranged Attack",Goblin Bow,,FALSE,,,,,,
Goblin Warlock,,,Humanoid,Goblin,Warlock,,,Small,9.0m,2.0m,35.0kg,2,"Armour of Agathys,Eldritch Blast,Hex (Dexterity)",,,FALSE,,,,,,
Goblin Warrior,,,Humanoid,Goblin,Fighter,,,Small,9.0m,2.0m,35.0kg,2,"Cleave,Lacerate,Main Hand Attack,Menacing Attack (Melee),Prepare,Throw Stone",Greataxe,,FALSE,,,,,,
Grasping Vine,,,Plant,Plant,,,,Medium,0.0m,1.0m,50.0kg,1,Grasping Pull,,,FALSE,,,,,,
Grease Elemental,,,Elemental,Elemental,,,,Large,9.0m,9.0m,750.0kg,9,Slam (Grease Elemental),,,FALSE,,,,,,
Greaseball,,,Ooze,Ooze,,,,Medium,9.0m,3.0m,180.0kg,3,"Ochre Sputum (grease),Pseudopod (Greaseball)",,,FALSE,,,,,,
Gremishka,,,Monstrosity,,,,,Tiny,9.0m,1.0m,5.0kg,40,Bite (Gremishka),,,FALSE,,,,,,
Visage of Cowardice,,,Undead,Grim Visage,,,,Tiny,12.0m,16.0m,6.0kg,110,"Blind Terror,Death Shriek,Headbutt",,,FALSE,,,,,,
Visage of Greed,,,Undead,Grim Visage,,,,Tiny,12.0m,16.0m,6.0kg,110,"Burning Avarice,Death Shriek,Headbutt",,,FALSE,,,,,,
Visage of Guilt,,,Undead,Grim Visage,,,,Tiny,12.0m,16.0m,6.0kg,110,"Death Shriek,Headbutt,Venomous Guilt",,,FALSE,,,,,,
Visage of Heartlessness,,,Undead,Grim Visage,,,,Tiny,12.0m,16.0m,6.0kg,110,"Death Shriek,Headbutt,Moral Confinement",,,FALSE,,,,,,
Visage of Obedience,,,Undead,Grim Visage,,,,Tiny,12.0m,16.0m,6.0kg,110,"Brutal Servitude,Death Shriek,Headbutt",,,FALSE,,,,,,
Visage of Regret,,,Undead,Grim Visage,,,,Tiny,12.0m,16.0m,6.0kg,110,"Choking Wail,Death Shriek,Headbutt",,,FALSE,,,,,,
Harpy,,,Monstrosity,Harpy,,,,Medium,32.0m,3.0m,50.0kg,20,"Claws (Harpy),Fly (class action),Luring Song,Multiattack (Harpy),Sharp Rock",,,FALSE,,,,,,
Hellsboar,,,Fiend,Hellsboar,,,,Medium,12.0m,3.0m,120.0kg,3,"Rush (Boar),Tusk Attack (Boar)",,,FALSE,,,,,,
